list-dl-none,2,32,1,192,218894,1140
list-i-none,4,32,1,384,272327,709
list-idl-none,4,32,1,384,267119,695
list-il-none,4,32,1,384,254767,663
list-dl-none,4,32,1,384,263402,685
list-l-none,4,32,1,384,280485,730
list-dl-none,8,32,1,768,448596,584
list-d-none,8,32,1,768,473687,616
list-l-none,8,32,1,768,467143,608
list-i-none,12,32,1,1152,538749,467
list-id-none,12,32,1,1152,558143,484
list-idl-none,12,32,1,1152,504626,438
list-il-none,12,32,1,1152,501710,435
list-dl-none,12,32,1,1152,512457,444
list-d-none,12,32,1,1152,479121,415
list-l-none,12,32,1,1152,505501,438
list-i-m,2,16,1,96,249972,2603
list-d-m,2,16,1,96,241171,2512
list-il-m,2,16,1,96,240780,2508
list-dl-m,2,16,1,96,225143,2345
list-i-s,2,16,1,96,224505,2338
list-d-s,2,16,1,96,235098,2448
list-il-s,2,16,1,96,234765,2445
list-dl-s,2,16,1,96,226364,2357
list-i-m,12,32,1,1152,541471,470
list-d-m,12,32,1,1152,508057,441
list-il-m,12,32,1,1152,556722,483
list-dl-m,12,32,1,1152,1388716,1205
list-i-s,12,32,1,1152,558693,484
list-d-s,12,32,1,1152,517465,449
list-il-s,12,32,1,1152,1003944,871
list-dl-s,12,32,1,1152,578480,502
list-none-m,1,1000,1,3000,5527497,1842
list-none-m,2,1000,1,6000,25666887,4277
list-none-m,4,1000,1,12000,59507914,4958
list-none-m,8,1000,1,24000,297921254,12413
list-none-m,12,1000,1,36000,659524143,18320
list-none-m,16,1000,1,48000,1019193648,21233
list-none-m,24,1000,1,72000,1796617185,24953
list-none-s,1,1000,1,3000,3427905,1142
list-none-s,2,1000,1,6000,19755347,3292
list-none-s,4,1000,1,12000,54608360,4550
list-none-s,8,1000,1,24000,220266977,9177
list-none-s,12,1000,1,36000,538048544,14945
list-none-s,16,1000,1,48000,859277974,17901
list-none-s,24,1000,1,72000,1865932973,25915
