list-none-s,8,1000,1,24000,510780269,21282,222209
list-none-s,12,1000,1,36000,1369597330,38044,626505
list-none-s,16,1000,1,48000,2651762277,55245,1210956
list-none-s,24,1000,1,72000,5307649797,73717,2194808
list-id-none,1,1,4,3,261112,87037,0
list-id-none,1,2,4,6,218753,36458,0
list-id-none,1,4,4,12,230181,19181,0
list-id-none,1,8,4,24,236976,9874,0
list-id-none,1,16,4,48,235138,4898,0
list-id-none,4,1,4,12,292457,24371,0
list-id-none,4,2,4,24,255508,10646,0
list-id-none,4,4,4,48,277935,5790,0
list-id-none,4,8,4,96,284578,2964,0
list-id-none,4,16,4,192,247324,1288,0
list-id-none,8,1,4,24,761905,31746,0
list-id-none,8,2,4,48,302787,6308,0
list-id-none,8,4,4,96,318576,3318,0
list-id-none,8,8,4,192,728795,3795,0
list-id-none,12,1,4,36,1053353,29259,0
list-id-none,12,2,4,72,1032508,14340,0
list-id-none,12,4,4,144,422981,2937,0
list-id-none,12,8,4,288,1015671,3526,0
list-id-none,12,16,4,576,1169864,2031,0
list-id-none,16,1,4,48,1165407,24279,0
list-id-none,16,2,4,96,1200705,12507,0
list-id-none,16,4,4,192,1195946,6228,0
list-id-none,16,8,4,384,921016,2398,0
list-id-none,16,16,4,768,1032417,1344,0
list-id-s,1,10,4,30,190647,6354,48
list-id-m,1,10,4,30,210579,7019,85
list-id-s,1,20,4,60,241076,4017,47
list-id-m,1,20,4,60,214077,3567,67
list-id-s,1,40,4,120,225662,1880,45
list-id-m,1,40,4,120,216775,1806,58
list-id-s,1,80,4,240,248683,1036,45
list-id-m,1,80,4,240,235520,981,52
list-id-s,4,10,4,120,255305,2127,74
list-id-m,4,10,4,120,249286,2077,184
list-id-s,4,20,4,240,221266,921,106
list-id-m,4,20,4,240,286344,1193,114
list-id-s,4,40,4,480,268859,560,187
list-id-m,4,40,4,480,235398,490,305
list-id-s,4,80,4,960,517369,538,739
list-id-m,4,80,4,960,531766,553,755
list-id-s,8,10,4,240,1063956,4433,69
list-id-m,8,10,4,240,1087868,4532,86
list-id-s,8,20,4,480,343566,715,169
list-id-m,8,20,4,480,366208,762,944
list-id-s,8,40,4,960,510459,531,1711
list-id-m,8,40,4,960,591458,616,2410
list-id-s,8,80,4,1920,1275058,664,3643
list-id-m,8,80,4,1920,1266557,659,3161
list-id-s,12,10,4,360,992905,2758,51
list-id-m,12,10,4,360,919288,2553,162
list-id-s,12,20,4,720,1025791,1424,51
list-id-m,12,20,4,720,441578,613,84
list-id-s,12,40,4,1440,724174,502,2039
list-id-m,12,40,4,1440,873405,606,3131
list-id-s,12,80,4,2880,2305094,800,8691
list-id-m,12,80,4,2880,1898173,659,5983
list-id-s,16,10,4,480,1158983,2414,58
list-id-m,16,10,4,480,1123860,2341,63
list-id-s,16,20,4,960,807850,841,109
list-id-m,16,20,4,960,1164296,1212,129
list-id-s,16,40,4,1920,941420,490,1688
list-id-m,16,40,4,1920,1322103,688,4349
list-id-s,16,80,4,3840,3575184,931,14064
list-id-m,16,80,4,3840,2709418,705,9838
list-none-m,1,1000,4,3000,1537975,512,53
list-none-s,1,1000,4,3000,1539788,513,43
list-none-m,1,1000,8,3000,1167493,389,46
list-none-s,1,1000,8,3000,1130262,376,44
list-none-m,1,1000,16,3000,876233,292,46
list-none-s,1,1000,16,3000,885146,295,44
list-none-m,2,1000,4,6000,5645423,940,716
list-none-s,2,1000,4,6000,5685870,947,467
